Station Exits,,,,,,,,,,hour (hr),5.00 ,5.00 ,5.00 ,5.00 ,6.00 ,6.00 ,6.00 ,6.00 ,7.00 ,7.00 ,7.00 ,7.00 ,8.00 ,8.00 ,8.00 ,8.00 ,9.00 ,9.00 ,9.00 ,9.00 ,10.00 ,10.00 ,10.00 ,10.00 ,11.00 ,11.00 ,11.00 ,11.00 ,12.00 ,12.00 ,12.00 ,12.00 ,13.00 ,13.00 ,13.00 ,13.00 ,14.00 ,14.00 ,14.00 ,14.00 ,15.00 ,15.00 ,15.00 ,15.00 ,16.00 ,16.00 ,16.00 ,16.00 ,17.00 ,17.00 ,17.00 ,17.00 ,18.00 ,18.00 ,18.00 ,18.00 ,19.00 ,19.00 ,19.00 ,19.00 ,20.00 ,20.00 ,20.00 ,20.00 ,21.00 ,21.00 ,21.00 ,21.00 ,22.00 ,22.00 ,22.00 ,22.00 ,23.00 ,23.00 ,23.00 ,23.00 ,24.00 ,25.00 ,26.00 ,27.00 ,25.00 ,25.00 ,25.00 ,25.00 ,26.00 ,26.00 ,26.00 ,26.00 ,27.00 ,27.00 ,27.00 ,27.00 ,28.00 ,28.00 ,28.00 ,28.00 
,,,,,,,,,,quarter hour (qhr),21.00 ,22.00 ,23.00 ,24.00 ,25.00 ,26.00 ,27.00 ,28.00 ,29.00 ,30.00 ,31.00 ,32.00 ,33.00 ,34.00 ,35.00 ,36.00 ,37.00 ,38.00 ,39.00 ,40.00 ,41.00 ,42.00 ,43.00 ,44.00 ,45.00 ,46.00 ,47.00 ,48.00 ,49.00 ,50.00 ,51.00 ,52.00 ,53.00 ,54.00 ,55.00 ,56.00 ,57.00 ,58.00 ,59.00 ,60.00 ,61.00 ,62.00 ,63.00 ,64.00 ,65.00 ,66.00 ,67.00 ,68.00 ,69.00 ,70.00 ,71.00 ,72.00 ,73.00 ,74.00 ,75.00 ,76.00 ,77.00 ,78.00 ,79.00 ,80.00 ,81.00 ,82.00 ,83.00 ,84.00 ,85.00 ,86.00 ,87.00 ,88.00 ,89.00 ,90.00 ,91.00 ,92.00 ,93.00 ,94.00 ,95.00 ,96.00 ,97.00 ,98.00 ,99.00 ,100.00 ,101.00 ,102.00 ,103.00 ,104.00 ,105.00 ,106.00 ,107.00 ,108.00 ,109.00 ,110.00 ,111.00 ,112.00 ,113.00 ,114.00 ,115.00 ,116.00 
NLC,ASC,Station,Fare Zone,Total,Early     ,AM Peak   ,Midday    ,PM Peak   ,Evening   ,Late      ,0500-0515,0515-0530,0530-0545,0545-0600,0600-0615,0615-0630,0630-0645,0645-0700,0700-0715,0715-0730,0730-0745,0745-0800,0800-0815,0815-0830,0830-0845,0845-0900,0900-0915,0915-0930,0930-0945,0945-1000,1000-1015,1015-1030,1030-1045,1045-1100,1100-1115,1115-1130,1130-1145,1145-1200,1200-1215,1215-1230,1230-1245,1245-1300,1300-1315,1315-1330,1330-1345,1345-1400,1400-1415,1415-1430,1430-1445,1445-1500,1500-1515,1515-1530,1530-1545,1545-1600,1600-1615,1615-1630,1630-1645,1645-1700,1700-1715,1715-1730,1730-1745,1745-1800,1800-1815,1815-1830,1830-1845,1845-1900,1900-1915,1915-1930,1930-1945,1945-2000,2000-2015,2015-2030,2030-2045,2045-2100,2100-2115,2115-2130,2130-2145,2145-2200,2200-2215,2215-2230,2230-2245,2245-2300,2300-2315,2315-2330,2330-2345,2345-0000,0000-0015,0015-0030,0030-0045,0045-0100,0100-0115,0115-0130,0130-0145,0145-0200,0200-0215,0215-0230,0230-0245,0245-0300,0300-0315,0315-0330,0330-0345,0345-0400,0400-0415,0415-0430,0430-0445,0445-0500
750,ABRd,Abbey Road,2/3,2115.20 ,113.02 ,357.51 ,549.54 ,562.03 ,325.20 ,207.89 ,0.69 ,1.73 ,3.77 ,8.46 ,15.73 ,23.48 ,27.40 ,31.76 ,35.25 ,36.24 ,35.68 ,37.28 ,38.03 ,35.03 ,30.65 ,26.63 ,23.81 ,21.30 ,19.57 ,18.04 ,17.78 ,16.86 ,13.89 ,14.05 ,15.02 ,15.93 ,16.98 ,19.50 ,19.65 ,20.76 ,20.00 ,20.47 ,19.77 ,21.05 ,19.99 ,22.19 ,22.48 ,25.28 ,26.53 ,29.47 ,32.41 ,35.96 ,40.36 ,43.17 ,44.29 ,41.80 ,44.64 ,45.82 ,47.47 ,51.55 ,55.88 ,55.49 ,50.22 ,45.51 ,41.11 ,38.25 ,32.32 ,32.44 ,31.85 ,30.56 ,26.62 ,27.36 ,24.87 ,24.83 ,24.13 ,24.38 ,22.97 ,22.86 ,21.24 ,21.04 ,20.42 ,20.88 ,20.62 ,21.23 ,18.61 ,17.42 ,16.40 ,12.57 ,8.15 ,5.86 ,3.46 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
1404,ACCr,Acton Central,3,2949.90 ,46.83 ,693.39 ,637.91 ,965.35 ,411.14 ,195.30 ,0.00 ,0.00 ,0.07 ,0.40 ,2.50 ,6.61 ,10.48 ,26.76 ,45.02 ,59.57 ,68.45 ,83.55 ,81.37 ,76.22 ,66.51 ,63.80 ,49.20 ,40.36 ,30.16 ,29.18 ,24.04 ,23.50 ,21.88 ,21.90 ,19.40 ,19.42 ,19.41 ,19.79 ,20.58 ,22.08 ,21.82 ,22.39 ,22.75 ,23.04 ,24.40 ,22.93 ,27.46 ,29.16 ,31.63 ,33.15 ,36.85 ,36.70 ,41.56 ,52.08 ,59.38 ,66.56 ,71.74 ,83.78 ,86.99 ,88.35 ,90.27 ,97.14 ,90.27 ,80.99 ,74.97 ,74.90 ,59.06 ,50.75 ,47.37 ,41.76 ,31.09 ,32.19 ,28.22 ,25.75 ,25.62 ,23.90 ,22.57 ,22.85 ,19.88 ,19.67 ,18.30 ,18.55 ,19.56 ,21.86 ,23.44 ,21.05 ,16.05 ,10.83 ,6.11 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
3000,AMLr,Acton Main Line,3,1856.29 ,58.32 ,298.28 ,408.10 ,530.38 ,332.73 ,228.48 ,1.10 ,1.52 ,3.58 ,4.83 ,6.76 ,8.44 ,12.70 ,19.38 ,24.90 ,29.75 ,34.69 ,37.52 ,33.83 ,31.91 ,27.03 ,22.65 ,17.98 ,14.90 ,11.86 ,11.26 ,10.73 ,9.35 ,9.87 ,10.24 ,10.70 ,10.95 ,11.78 ,11.12 ,11.13 ,11.88 ,12.78 ,14.05 ,16.34 ,17.54 ,18.93 ,20.23 ,21.42 ,21.42 ,22.27 ,23.07 ,24.38 ,26.01 ,28.91 ,33.01 ,36.18 ,40.04 ,41.88 ,43.29 ,44.80 ,45.99 ,46.34 ,48.44 ,48.94 ,47.61 ,44.97 ,41.91 ,38.88 ,36.47 ,32.12 ,30.82 ,28.23 ,24.89 ,22.24 ,22.64 ,21.84 ,22.53 ,24.19 ,27.90 ,27.50 ,30.71 ,28.80 ,34.24 ,31.11 ,28.77 ,20.96 ,17.63 ,6.60 ,2.16 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
500,ACTu,Acton Town,3,7918.74 ,274.98 ,1534.02 ,1694.29 ,1935.43 ,1207.90 ,1272.12 ,1.14 ,4.29 ,8.74 ,18.24 ,33.26 ,49.78 ,68.13 ,91.40 ,119.64 ,142.63 ,163.92 ,177.42 ,182.88 ,170.15 ,149.58 ,125.60 ,102.35 ,80.70 ,64.07 ,55.08 ,49.97 ,49.25 ,47.19 ,48.94 ,51.70 ,53.31 ,53.66 ,54.23 ,56.09 ,58.64 ,60.19 ,61.58 ,65.99 ,69.61 ,70.13 ,72.77 ,80.53 ,84.15 ,86.49 ,91.68 ,99.02 ,103.45 ,108.46 ,117.25 ,128.37 ,136.43 ,142.48 ,151.78 ,163.86 ,171.29 ,174.77 ,178.71 ,183.32 ,179.22 ,167.08 ,158.11 ,147.32 ,135.72 ,120.24 ,111.01 ,103.62 ,97.45 ,88.04 ,82.80 ,81.90 ,80.14 ,79.91 ,79.76 ,85.14 ,88.55 ,93.08 ,92.07 ,94.68 ,90.34 ,85.09 ,75.94 ,71.92 ,63.64 ,57.98 ,49.02 ,45.24 ,36.80 ,32.88 ,27.04 ,29.62 ,27.16 ,22.88 ,16.64 ,13.24 ,5.70 ,6.93 ,10.28 ,13.21 ,14.62 ,14.57 ,7.86 
9441,ADVt,Addington Village,4,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
9440,ADSt,Addiscombe,4,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
502,ALDu,Aldgate,1,11498.45 ,285.89 ,2768.40 ,3515.08 ,2500.11 ,1477.89 ,951.07 ,6.50 ,8.65 ,15.94 ,17.60 ,27.50 ,47.20 ,67.56 ,94.95 ,122.11 ,151.14 ,165.39 ,195.84 ,220.69 ,262.67 ,278.27 ,302.51 ,297.84 ,290.23 ,250.20 ,231.52 ,204.47 ,192.35 ,167.59 ,161.99 ,149.19 ,146.01 ,132.50 ,131.05 ,123.85 ,128.53 ,123.52 ,131.37 ,129.91 ,135.14 ,127.93 ,133.94 ,127.76 ,134.62 ,133.54 ,146.23 ,147.11 ,161.92 ,164.16 ,180.38 ,175.27 ,194.67 ,193.80 ,205.97 ,205.03 ,224.52 ,216.39 ,228.89 ,223.63 ,220.69 ,207.70 ,203.55 ,181.16 ,166.17 ,148.19 ,137.12 ,122.76 ,114.21 ,110.35 ,106.47 ,101.04 ,97.55 ,96.93 ,95.95 ,102.84 ,105.85 ,109.34 ,107.34 ,105.49 ,95.94 ,84.09 ,77.44 ,63.88 ,45.30 ,30.30 ,19.61 ,3.64 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
