Station Entries,,,,,,,,,,hour (hr),5.00 ,5.00 ,5.00 ,5.00 ,6.00 ,6.00 ,6.00 ,6.00 ,7.00 ,7.00 ,7.00 ,7.00 ,8.00 ,8.00 ,8.00 ,8.00 ,9.00 ,9.00 ,9.00 ,9.00 ,10.00 ,10.00 ,10.00 ,10.00 ,11.00 ,11.00 ,11.00 ,11.00 ,12.00 ,12.00 ,12.00 ,12.00 ,13.00 ,13.00 ,13.00 ,13.00 ,14.00 ,14.00 ,14.00 ,14.00 ,15.00 ,15.00 ,15.00 ,15.00 ,16.00 ,16.00 ,16.00 ,16.00 ,17.00 ,17.00 ,17.00 ,17.00 ,18.00 ,18.00 ,18.00 ,18.00 ,19.00 ,19.00 ,19.00 ,19.00 ,20.00 ,20.00 ,20.00 ,20.00 ,21.00 ,21.00 ,21.00 ,21.00 ,22.00 ,22.00 ,22.00 ,22.00 ,23.00 ,23.00 ,23.00 ,23.00 ,24.00 ,25.00 ,26.00 ,27.00 ,25.00 ,25.00 ,25.00 ,25.00 ,26.00 ,26.00 ,26.00 ,26.00 ,27.00 ,27.00 ,27.00 ,27.00 ,28.00 ,28.00 ,28.00 ,28.00 
,,,,,,,,,,quarter hour (qhr),21.00 ,22.00 ,23.00 ,24.00 ,25.00 ,26.00 ,27.00 ,28.00 ,29.00 ,30.00 ,31.00 ,32.00 ,33.00 ,34.00 ,35.00 ,36.00 ,37.00 ,38.00 ,39.00 ,40.00 ,41.00 ,42.00 ,43.00 ,44.00 ,45.00 ,46.00 ,47.00 ,48.00 ,49.00 ,50.00 ,51.00 ,52.00 ,53.00 ,54.00 ,55.00 ,56.00 ,57.00 ,58.00 ,59.00 ,60.00 ,61.00 ,62.00 ,63.00 ,64.00 ,65.00 ,66.00 ,67.00 ,68.00 ,69.00 ,70.00 ,71.00 ,72.00 ,73.00 ,74.00 ,75.00 ,76.00 ,77.00 ,78.00 ,79.00 ,80.00 ,81.00 ,82.00 ,83.00 ,84.00 ,85.00 ,86.00 ,87.00 ,88.00 ,89.00 ,90.00 ,91.00 ,92.00 ,93.00 ,94.00 ,95.00 ,96.00 ,97.00 ,98.00 ,99.00 ,100.00 ,101.00 ,102.00 ,103.00 ,104.00 ,105.00 ,106.00 ,107.00 ,108.00 ,109.00 ,110.00 ,111.00 ,112.00 ,113.00 ,114.00 ,115.00 ,116.00 
NLC,ASC,Station,Fare Zone,Total,Early     ,AM Peak   ,Midday    ,PM Peak   ,Evening   ,Late      ,0500-0515,0515-0530,0530-0545,0545-0600,0600-0615,0615-0630,0630-0645,0645-0700,0700-0715,0715-0730,0730-0745,0745-0800,0800-0815,0815-0830,0830-0845,0845-0900,0900-0915,0915-0930,0930-0945,0945-1000,1000-1015,1015-1030,1030-1045,1045-1100,1100-1115,1115-1130,1130-1145,1145-1200,1200-1215,1215-1230,1230-1245,1245-1300,1300-1315,1315-1330,1330-1345,1345-1400,1400-1415,1415-1430,1430-1445,1445-1500,1500-1515,1515-1530,1530-1545,1545-1600,1600-1615,1615-1630,1630-1645,1645-1700,1700-1715,1715-1730,1730-1745,1745-1800,1800-1815,1815-1830,1830-1845,1845-1900,1900-1915,1915-1930,1930-1945,1945-2000,2000-2015,2015-2030,2030-2045,2045-2100,2100-2115,2115-2130,2130-2145,2145-2200,2200-2215,2215-2230,2230-2245,2245-2300,2300-2315,2315-2330,2330-2345,2345-0000,0000-0015,0015-0030,0030-0045,0045-0100,0100-0115,0115-0130,0130-0145,0145-0200,0200-0215,0215-0230,0230-0245,0245-0300,0300-0315,0315-0330,0330-0345,0345-0400,0400-0415,0415-0430,0430-0445,0445-0500
750,ABRd,Abbey Road,2/3,2071.83 ,184.08 ,572.22 ,621.67 ,410.75 ,215.88 ,67.23 ,4.11 ,8.18 ,12.66 ,19.44 ,26.26 ,31.72 ,37.85 ,43.88 ,47.94 ,51.22 ,55.31 ,58.96 ,58.67 ,55.77 ,53.39 ,48.90 ,41.65 ,36.51 ,33.51 ,30.39 ,25.92 ,23.58 ,22.83 ,22.19 ,22.73 ,21.79 ,21.30 ,20.46 ,20.74 ,19.11 ,19.99 ,21.35 ,21.91 ,22.68 ,24.30 ,24.55 ,24.23 ,28.24 ,30.37 ,32.53 ,36.60 ,38.60 ,37.38 ,38.28 ,39.34 ,36.93 ,39.42 ,41.01 ,39.95 ,37.20 ,35.99 ,31.44 ,28.69 ,27.85 ,27.17 ,25.76 ,25.01 ,22.99 ,20.30 ,19.24 ,19.36 ,18.61 ,18.64 ,17.64 ,15.66 ,14.13 ,13.28 ,11.01 ,10.21 ,9.52 ,8.19 ,6.79 ,7.28 ,6.59 ,6.23 ,5.06 ,4.10 ,2.21 ,0.93 ,0.06 ,0.06 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
1404,ACCr,Acton Central,3,2958.06 ,196.73 ,1053.62 ,735.47 ,704.94 ,206.49 ,60.81 ,0.00 ,0.00 ,4.91 ,11.78 ,23.31 ,34.39 ,52.29 ,70.05 ,92.37 ,101.31 ,113.46 ,122.99 ,122.71 ,107.46 ,98.73 ,88.91 ,69.28 ,54.00 ,45.85 ,36.55 ,30.68 ,29.24 ,27.82 ,27.37 ,30.29 ,28.56 ,29.00 ,27.68 ,26.92 ,26.83 ,26.62 ,24.42 ,25.59 ,25.85 ,25.65 ,24.79 ,25.43 ,24.46 ,25.88 ,29.19 ,37.09 ,45.80 ,52.67 ,57.66 ,63.60 ,63.42 ,65.85 ,69.87 ,73.60 ,68.43 ,66.41 ,59.72 ,52.86 ,42.94 ,40.55 ,37.69 ,30.91 ,26.31 ,24.96 ,22.10 ,15.67 ,15.24 ,13.56 ,12.23 ,10.77 ,11.44 ,11.33 ,11.98 ,11.83 ,11.93 ,11.96 ,9.82 ,7.16 ,4.90 ,2.39 ,0.53 ,0.28 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
3000,AMLr,Acton Main Line,3,2430.42 ,167.59 ,981.23 ,680.53 ,461.07 ,119.17 ,20.83 ,2.23 ,2.79 ,7.68 ,13.32 ,20.87 ,28.92 ,39.04 ,52.75 ,64.13 ,77.02 ,97.13 ,109.60 ,113.65 ,109.81 ,105.44 ,85.35 ,71.56 ,56.21 ,50.17 ,41.16 ,39.62 ,36.30 ,34.59 ,33.58 ,31.41 ,28.06 ,27.79 ,26.85 ,26.29 ,26.41 ,27.16 ,25.95 ,25.87 ,24.85 ,25.19 ,24.22 ,23.95 ,23.07 ,24.13 ,25.08 ,26.88 ,27.87 ,32.28 ,33.12 ,34.24 ,36.56 ,42.06 ,45.53 ,47.10 ,47.65 ,46.08 ,42.34 ,35.96 ,31.88 ,27.79 ,23.89 ,20.28 ,17.04 ,14.16 ,10.96 ,9.27 ,7.47 ,7.13 ,6.66 ,6.55 ,7.10 ,6.48 ,6.08 ,5.27 ,4.84 ,3.43 ,2.75 ,1.69 ,1.41 ,0.84 ,0.47 ,0.13 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
500,ACTu,Acton Town,3,7225.15 ,461.00 ,2361.94 ,2206.04 ,1552.32 ,470.51 ,173.34 ,11.18 ,18.42 ,29.86 ,44.77 ,56.56 ,75.44 ,99.08 ,125.69 ,148.10 ,185.04 ,222.29 ,251.46 ,262.87 ,267.66 ,247.42 ,215.58 ,178.99 ,148.34 ,124.14 ,110.05 ,96.06 ,88.87 ,88.90 ,87.73 ,85.08 ,84.80 ,84.05 ,84.54 ,84.95 ,83.17 ,82.45 ,83.43 ,79.61 ,77.62 ,78.61 ,80.08 ,82.34 ,84.34 ,90.11 ,98.73 ,106.18 ,116.40 ,134.00 ,143.99 ,148.24 ,152.15 ,157.69 ,153.21 ,147.64 ,143.68 ,138.12 ,124.67 ,112.55 ,102.42 ,91.03 ,80.93 ,69.62 ,59.14 ,51.95 ,45.86 ,40.03 ,35.18 ,32.69 ,29.26 ,26.69 ,25.61 ,26.99 ,27.49 ,26.40 ,24.57 ,21.97 ,18.34 ,14.15 ,12.34 ,10.41 ,8.44 ,6.30 ,4.96 ,3.08 ,1.93 ,1.04 ,0.53 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,6.30 ,6.30 ,6.30 
9441,ADVt,Addington Village,4,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
9440,ADSt,Addiscombe,4,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
502,ALDu,Aldgate,1,10365.85 ,257.82 ,1593.13 ,2939.47 ,4146.37 ,1138.10 ,290.97 ,6.63 ,8.01 ,14.21 ,20.72 ,31.25 ,43.22 ,59.87 ,73.91 ,88.46 ,98.40 ,111.72 ,130.00 ,145.96 ,155.98 ,160.24 ,160.46 ,150.73 ,136.32 ,129.45 ,125.42 ,124.59 ,119.29 ,122.51 ,120.34 ,121.67 ,114.21 ,114.92 ,111.36 ,110.49 ,103.76 ,106.51 ,106.12 ,109.53 ,106.73 ,111.29 ,108.77 ,109.52 ,105.72 ,115.60 ,121.28 ,135.76 ,149.28 ,182.85 ,207.36 ,239.59 ,272.33 ,336.23 ,373.79 ,421.69 ,452.08 ,467.93 ,427.41 ,382.58 ,315.12 ,258.89 ,198.74 ,160.56 ,131.63 ,116.05 ,97.03 ,92.55 ,88.77 ,87.08 ,84.54 ,83.09 ,73.21 ,65.66 ,57.93 ,49.81 ,43.24 ,39.08 ,35.02 ,30.92 ,26.48 ,21.53 ,16.97 ,12.33 ,7.43 ,4.90 ,2.20 ,1.06 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
