Station Exits,,,,,,,,,,hour (hr),5.00 ,5.00 ,5.00 ,5.00 ,6.00 ,6.00 ,6.00 ,6.00 ,7.00 ,7.00 ,7.00 ,7.00 ,8.00 ,8.00 ,8.00 ,8.00 ,9.00 ,9.00 ,9.00 ,9.00 ,10.00 ,10.00 ,10.00 ,10.00 ,11.00 ,11.00 ,11.00 ,11.00 ,12.00 ,12.00 ,12.00 ,12.00 ,13.00 ,13.00 ,13.00 ,13.00 ,14.00 ,14.00 ,14.00 ,14.00 ,15.00 ,15.00 ,15.00 ,15.00 ,16.00 ,16.00 ,16.00 ,16.00 ,17.00 ,17.00 ,17.00 ,17.00 ,18.00 ,18.00 ,18.00 ,18.00 ,19.00 ,19.00 ,19.00 ,19.00 ,20.00 ,20.00 ,20.00 ,20.00 ,21.00 ,21.00 ,21.00 ,21.00 ,22.00 ,22.00 ,22.00 ,22.00 ,23.00 ,23.00 ,23.00 ,23.00 ,24.00 ,25.00 ,26.00 ,27.00 ,25.00 ,25.00 ,25.00 ,25.00 ,26.00 ,26.00 ,26.00 ,26.00 ,27.00 ,27.00 ,27.00 ,27.00 ,28.00 ,28.00 ,28.00 ,28.00 
,,,,,,,,,,quarter hour (qhr),21.00 ,22.00 ,23.00 ,24.00 ,25.00 ,26.00 ,27.00 ,28.00 ,29.00 ,30.00 ,31.00 ,32.00 ,33.00 ,34.00 ,35.00 ,36.00 ,37.00 ,38.00 ,39.00 ,40.00 ,41.00 ,42.00 ,43.00 ,44.00 ,45.00 ,46.00 ,47.00 ,48.00 ,49.00 ,50.00 ,51.00 ,52.00 ,53.00 ,54.00 ,55.00 ,56.00 ,57.00 ,58.00 ,59.00 ,60.00 ,61.00 ,62.00 ,63.00 ,64.00 ,65.00 ,66.00 ,67.00 ,68.00 ,69.00 ,70.00 ,71.00 ,72.00 ,73.00 ,74.00 ,75.00 ,76.00 ,77.00 ,78.00 ,79.00 ,80.00 ,81.00 ,82.00 ,83.00 ,84.00 ,85.00 ,86.00 ,87.00 ,88.00 ,89.00 ,90.00 ,91.00 ,92.00 ,93.00 ,94.00 ,95.00 ,96.00 ,97.00 ,98.00 ,99.00 ,100.00 ,101.00 ,102.00 ,103.00 ,104.00 ,105.00 ,106.00 ,107.00 ,108.00 ,109.00 ,110.00 ,111.00 ,112.00 ,113.00 ,114.00 ,115.00 ,116.00 
NLC,ASC,Station,Fare Zone,Total,Early     ,AM Peak   ,Midday    ,PM Peak   ,Evening   ,Late      ,0500-0515,0515-0530,0530-0545,0545-0600,0600-0615,0615-0630,0630-0645,0645-0700,0700-0715,0715-0730,0730-0745,0745-0800,0800-0815,0815-0830,0830-0845,0845-0900,0900-0915,0915-0930,0930-0945,0945-1000,1000-1015,1015-1030,1030-1045,1045-1100,1100-1115,1115-1130,1130-1145,1145-1200,1200-1215,1215-1230,1230-1245,1245-1300,1300-1315,1315-1330,1330-1345,1345-1400,1400-1415,1415-1430,1430-1445,1445-1500,1500-1515,1515-1530,1530-1545,1545-1600,1600-1615,1615-1630,1630-1645,1645-1700,1700-1715,1715-1730,1730-1745,1745-1800,1800-1815,1815-1830,1830-1845,1845-1900,1900-1915,1915-1930,1930-1945,1945-2000,2000-2015,2015-2030,2030-2045,2045-2100,2100-2115,2115-2130,2130-2145,2145-2200,2200-2215,2215-2230,2230-2245,2245-2300,2300-2315,2315-2330,2330-2345,2345-0000,0000-0015,0015-0030,0030-0045,0045-0100,0100-0115,0115-0130,0130-0145,0145-0200,0200-0215,0215-0230,0230-0245,0245-0300,0300-0315,0315-0330,0330-0345,0345-0400,0400-0415,0415-0430,0430-0445,0445-0500
750,ABRd,Abbey Road,2/3,2037.86 ,131.11 ,402.77 ,493.45 ,563.05 ,302.32 ,145.16 ,1.08 ,3.15 ,6.03 ,12.44 ,19.87 ,25.89 ,28.95 ,33.70 ,34.69 ,37.77 ,40.92 ,44.79 ,46.08 ,45.71 ,38.71 ,31.89 ,26.82 ,21.73 ,17.26 ,16.40 ,15.85 ,15.04 ,13.48 ,13.14 ,13.45 ,14.23 ,13.88 ,14.75 ,15.67 ,16.22 ,15.33 ,16.36 ,17.22 ,17.86 ,17.98 ,19.99 ,20.85 ,22.69 ,24.70 ,27.11 ,31.13 ,36.38 ,38.30 ,41.82 ,43.45 ,41.37 ,41.45 ,45.05 ,47.11 ,52.60 ,56.38 ,56.48 ,52.01 ,48.15 ,41.24 ,37.75 ,31.92 ,30.85 ,27.79 ,26.45 ,24.01 ,24.76 ,23.06 ,23.94 ,23.08 ,23.50 ,21.85 ,21.10 ,18.83 ,18.17 ,15.79 ,15.54 ,14.48 ,14.52 ,12.71 ,11.18 ,9.35 ,7.02 ,3.93 ,2.35 ,1.27 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
1404,ACCr,Acton Central,3,2894.89 ,48.98 ,769.17 ,563.83 ,1004.11 ,385.90 ,122.91 ,0.00 ,0.00 ,0.05 ,0.15 ,1.52 ,6.97 ,10.72 ,29.57 ,51.07 ,67.77 ,77.95 ,97.76 ,93.15 ,85.55 ,75.69 ,69.64 ,50.04 ,41.43 ,30.90 ,28.23 ,24.02 ,23.70 ,22.01 ,21.02 ,19.69 ,17.56 ,18.01 ,17.51 ,19.99 ,19.75 ,20.70 ,20.28 ,21.03 ,20.15 ,20.69 ,19.47 ,21.69 ,22.20 ,24.39 ,25.80 ,30.00 ,32.12 ,36.73 ,45.33 ,53.90 ,60.89 ,66.02 ,80.31 ,86.87 ,90.55 ,94.09 ,107.67 ,102.61 ,93.30 ,85.34 ,82.54 ,62.11 ,52.15 ,45.85 ,41.60 ,31.86 ,30.60 ,24.37 ,22.92 ,20.75 ,18.82 ,17.28 ,17.58 ,15.42 ,15.13 ,13.56 ,13.50 ,13.79 ,13.44 ,12.57 ,10.90 ,7.48 ,4.49 ,2.62 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
3000,AMLr,Acton Main Line,3,2569.83 ,76.58 ,411.25 ,468.92 ,893.91 ,518.93 ,200.24 ,1.14 ,1.67 ,4.11 ,5.64 ,8.43 ,12.46 ,17.87 ,25.26 ,34.69 ,41.93 ,47.79 ,51.01 ,49.47 ,45.16 ,38.35 ,30.95 ,24.50 ,19.17 ,14.50 ,13.75 ,13.03 ,11.59 ,11.21 ,11.02 ,10.43 ,10.84 ,12.71 ,13.36 ,14.48 ,16.15 ,16.43 ,17.73 ,18.94 ,19.46 ,19.29 ,20.52 ,21.72 ,22.19 ,22.58 ,25.21 ,28.73 ,31.60 ,36.08 ,43.65 ,47.59 ,52.37 ,56.61 ,60.50 ,66.91 ,74.25 ,81.58 ,90.29 ,98.48 ,94.97 ,89.14 ,81.22 ,71.33 ,61.42 ,55.74 ,51.63 ,46.44 ,41.05 ,35.75 ,33.22 ,31.18 ,29.83 ,30.02 ,31.30 ,29.41 ,33.00 ,30.05 ,30.89 ,25.11 ,22.42 ,13.23 ,10.78 ,3.57 ,1.79 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
500,ACTu,Acton Town,3,7403.17 ,279.09 ,1705.74 ,1499.70 ,2076.10 ,1224.45 ,618.08 ,0.48 ,3.40 ,7.42 ,16.79 ,31.58 ,49.95 ,71.29 ,98.18 ,130.15 ,155.62 ,180.70 ,196.18 ,203.98 ,190.43 ,171.43 ,143.36 ,116.10 ,88.90 ,70.30 ,58.60 ,52.21 ,49.67 ,45.66 ,44.44 ,44.03 ,44.54 ,43.10 ,45.48 ,49.06 ,51.14 ,51.12 ,53.42 ,56.50 ,57.82 ,58.79 ,61.93 ,68.01 ,70.16 ,72.78 ,79.42 ,88.08 ,95.05 ,102.90 ,114.40 ,123.50 ,131.18 ,139.32 ,151.35 ,167.94 ,182.35 ,193.20 ,203.43 ,210.65 ,203.79 ,191.22 ,178.17 ,159.97 ,142.65 ,125.28 ,112.87 ,102.31 ,95.64 ,87.16 ,83.01 ,81.47 ,80.79 ,78.09 ,75.21 ,76.15 ,74.69 ,72.57 ,68.77 ,66.40 ,58.00 ,50.16 ,41.15 ,34.70 ,26.86 ,20.31 ,13.74 ,8.89 ,4.50 ,1.18 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
9441,ADVt,Addington Village,4,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
9440,ADSt,Addiscombe,4,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
502,ALDu,Aldgate,1,11385.80 ,301.98 ,3936.12 ,3353.31 ,2379.55 ,969.73 ,445.12 ,3.83 ,6.06 ,14.88 ,20.70 ,30.64 ,51.38 ,73.74 ,100.75 ,130.43 ,170.55 ,202.33 ,263.37 ,327.34 ,405.19 ,438.42 ,469.24 ,451.37 ,420.21 ,348.83 ,308.84 ,260.62 ,232.63 ,190.99 ,175.73 ,152.94 ,142.37 ,122.49 ,120.66 ,114.15 ,117.12 ,113.42 ,121.16 ,117.80 ,124.24 ,120.33 ,125.43 ,117.60 ,119.07 ,111.15 ,118.80 ,117.52 ,128.47 ,133.20 ,155.44 ,154.54 ,173.72 ,182.19 ,201.58 ,207.35 ,234.40 ,234.71 ,241.05 ,225.99 ,204.63 ,170.24 ,149.13 ,121.59 ,105.13 ,92.64 ,86.45 ,79.95 ,75.54 ,73.55 ,72.36 ,70.71 ,65.46 ,63.90 ,62.47 ,62.52 ,61.37 ,61.28 ,57.95 ,53.69 ,45.26 ,35.90 ,27.16 ,19.10 ,10.92 ,6.18 ,3.12 ,0.67 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
