Station Entries,,,,,,,,,,hour (hr),5.00 ,5.00 ,5.00 ,5.00 ,6.00 ,6.00 ,6.00 ,6.00 ,7.00 ,7.00 ,7.00 ,7.00 ,8.00 ,8.00 ,8.00 ,8.00 ,9.00 ,9.00 ,9.00 ,9.00 ,10.00 ,10.00 ,10.00 ,10.00 ,11.00 ,11.00 ,11.00 ,11.00 ,12.00 ,12.00 ,12.00 ,12.00 ,13.00 ,13.00 ,13.00 ,13.00 ,14.00 ,14.00 ,14.00 ,14.00 ,15.00 ,15.00 ,15.00 ,15.00 ,16.00 ,16.00 ,16.00 ,16.00 ,17.00 ,17.00 ,17.00 ,17.00 ,18.00 ,18.00 ,18.00 ,18.00 ,19.00 ,19.00 ,19.00 ,19.00 ,20.00 ,20.00 ,20.00 ,20.00 ,21.00 ,21.00 ,21.00 ,21.00 ,22.00 ,22.00 ,22.00 ,22.00 ,23.00 ,23.00 ,23.00 ,23.00 ,24.00 ,25.00 ,26.00 ,27.00 ,25.00 ,25.00 ,25.00 ,25.00 ,26.00 ,26.00 ,26.00 ,26.00 ,27.00 ,27.00 ,27.00 ,27.00 ,28.00 ,28.00 ,28.00 ,28.00 
,,,,,,,,,,quarter hour (qhr),21.00 ,22.00 ,23.00 ,24.00 ,25.00 ,26.00 ,27.00 ,28.00 ,29.00 ,30.00 ,31.00 ,32.00 ,33.00 ,34.00 ,35.00 ,36.00 ,37.00 ,38.00 ,39.00 ,40.00 ,41.00 ,42.00 ,43.00 ,44.00 ,45.00 ,46.00 ,47.00 ,48.00 ,49.00 ,50.00 ,51.00 ,52.00 ,53.00 ,54.00 ,55.00 ,56.00 ,57.00 ,58.00 ,59.00 ,60.00 ,61.00 ,62.00 ,63.00 ,64.00 ,65.00 ,66.00 ,67.00 ,68.00 ,69.00 ,70.00 ,71.00 ,72.00 ,73.00 ,74.00 ,75.00 ,76.00 ,77.00 ,78.00 ,79.00 ,80.00 ,81.00 ,82.00 ,83.00 ,84.00 ,85.00 ,86.00 ,87.00 ,88.00 ,89.00 ,90.00 ,91.00 ,92.00 ,93.00 ,94.00 ,95.00 ,96.00 ,97.00 ,98.00 ,99.00 ,100.00 ,101.00 ,102.00 ,103.00 ,104.00 ,105.00 ,106.00 ,107.00 ,108.00 ,109.00 ,110.00 ,111.00 ,112.00 ,113.00 ,114.00 ,115.00 ,116.00 
NLC,ASC,Station,Fare Zone,Total,Early     ,AM Peak   ,Midday    ,PM Peak   ,Evening   ,Late      ,0500-0515,0515-0530,0530-0545,0545-0600,0600-0615,0615-0630,0630-0645,0645-0700,0700-0715,0715-0730,0730-0745,0745-0800,0800-0815,0815-0830,0830-0845,0845-0900,0900-0915,0915-0930,0930-0945,0945-1000,1000-1015,1015-1030,1030-1045,1045-1100,1100-1115,1115-1130,1130-1145,1145-1200,1200-1215,1215-1230,1230-1245,1245-1300,1300-1315,1315-1330,1330-1345,1345-1400,1400-1415,1415-1430,1430-1445,1445-1500,1500-1515,1515-1530,1530-1545,1545-1600,1600-1615,1615-1630,1630-1645,1645-1700,1700-1715,1715-1730,1730-1745,1745-1800,1800-1815,1815-1830,1830-1845,1845-1900,1900-1915,1915-1930,1930-1945,1945-2000,2000-2015,2015-2030,2030-2045,2045-2100,2100-2115,2115-2130,2130-2145,2145-2200,2200-2215,2215-2230,2230-2245,2245-2300,2300-2315,2315-2330,2330-2345,2345-0000,0000-0015,0015-0030,0030-0045,0045-0100,0100-0115,0115-0130,0130-0145,0145-0200,0200-0215,0215-0230,0230-0245,0245-0300,0300-0315,0315-0330,0330-0345,0345-0400,0400-0415,0415-0430,0430-0445,0445-0500
750,ABRd,Abbey Road,2/3,1689.74 ,96.24 ,261.53 ,714.27 ,321.13 ,220.22 ,76.35 ,1.81 ,4.14 ,7.43 ,11.18 ,14.45 ,17.55 ,19.45 ,20.24 ,20.61 ,20.50 ,18.97 ,18.74 ,18.93 ,18.67 ,20.93 ,23.02 ,24.58 ,24.96 ,25.79 ,25.82 ,25.01 ,25.30 ,25.76 ,27.02 ,28.31 ,30.30 ,30.78 ,31.04 ,30.36 ,29.04 ,27.95 ,28.86 ,29.04 ,28.89 ,30.55 ,32.54 ,31.73 ,32.49 ,34.65 ,34.02 ,31.67 ,30.60 ,29.82 ,28.54 ,27.71 ,27.17 ,26.88 ,26.30 ,26.40 ,25.96 ,26.54 ,26.91 ,27.70 ,26.44 ,26.42 ,26.69 ,27.91 ,26.29 ,24.74 ,23.02 ,20.64 ,17.18 ,15.64 ,14.74 ,13.39 ,12.78 ,12.18 ,11.71 ,10.65 ,11.55 ,11.20 ,10.49 ,9.67 ,9.26 ,6.28 ,4.11 ,2.21 ,0.92 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
1404,ACCr,Acton Central,3,2306.50 ,68.55 ,341.03 ,1205.51 ,423.38 ,191.50 ,76.53 ,0.00 ,0.36 ,1.84 ,4.71 ,8.10 ,12.58 ,19.17 ,21.78 ,23.47 ,23.58 ,24.48 ,24.02 ,26.11 ,27.46 ,29.48 ,30.50 ,31.23 ,31.25 ,33.09 ,36.36 ,37.39 ,40.00 ,44.25 ,47.18 ,50.03 ,52.34 ,56.08 ,58.02 ,60.56 ,60.12 ,63.95 ,60.88 ,61.97 ,60.56 ,60.49 ,56.03 ,53.63 ,45.16 ,43.55 ,39.42 ,38.06 ,38.26 ,40.38 ,37.20 ,37.29 ,35.31 ,33.33 ,32.99 ,33.02 ,32.60 ,34.61 ,37.20 ,38.30 ,37.86 ,38.04 ,32.85 ,28.31 ,24.35 ,21.64 ,17.61 ,18.25 ,16.30 ,14.05 ,12.00 ,11.47 ,9.72 ,8.63 ,9.18 ,10.14 ,10.18 ,11.97 ,11.37 ,10.22 ,7.74 ,6.53 ,3.27 ,2.54 ,1.45 ,1.13 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
3000,AMLr,Acton Main Line,3,1704.15 ,55.11 ,248.87 ,860.62 ,316.62 ,183.86 ,39.08 ,1.79 ,2.78 ,4.46 ,6.69 ,7.04 ,9.41 ,12.04 ,10.89 ,11.81 ,14.20 ,15.54 ,15.87 ,19.78 ,21.35 ,22.18 ,22.83 ,24.52 ,25.65 ,27.00 ,28.14 ,29.06 ,30.83 ,32.28 ,32.70 ,34.95 ,35.13 ,34.92 ,36.02 ,38.78 ,41.83 ,45.45 ,47.60 ,47.70 ,45.16 ,42.94 ,39.45 ,35.41 ,32.54 ,31.63 ,29.25 ,29.78 ,29.64 ,28.93 ,28.63 ,27.87 ,26.48 ,27.06 ,26.88 ,27.18 ,27.98 ,27.51 ,26.34 ,27.00 ,24.52 ,24.71 ,23.10 ,22.60 ,21.00 ,21.51 ,18.21 ,18.31 ,16.05 ,14.80 ,11.90 ,11.76 ,9.55 ,9.82 ,8.35 ,8.74 ,6.51 ,6.54 ,4.63 ,4.84 ,3.03 ,2.65 ,1.19 ,0.97 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
500,ACTu,Acton Town,3,7063.48 ,248.69 ,1046.42 ,3313.10 ,1450.72 ,708.09 ,296.46 ,8.90 ,13.62 ,19.93 ,25.53 ,33.09 ,40.12 ,49.46 ,58.04 ,63.79 ,65.51 ,72.42 ,76.96 ,80.12 ,83.31 ,90.05 ,92.83 ,94.52 ,100.81 ,109.17 ,116.93 ,119.00 ,122.58 ,125.74 ,131.26 ,133.92 ,138.75 ,145.34 ,149.82 ,146.74 ,148.28 ,152.67 ,151.46 ,147.59 ,148.41 ,147.70 ,142.76 ,141.30 ,138.02 ,136.73 ,132.80 ,132.42 ,126.51 ,127.15 ,126.14 ,125.35 ,123.04 ,126.15 ,127.03 ,125.98 ,125.21 ,122.56 ,123.15 ,119.41 ,115.71 ,110.28 ,106.84 ,96.14 ,85.72 ,79.02 ,72.06 ,63.10 ,57.76 ,53.67 ,46.80 ,42.59 ,38.41 ,36.99 ,35.83 ,35.20 ,34.17 ,35.01 ,32.24 ,29.51 ,26.26 ,23.52 ,19.93 ,14.64 ,10.39 ,6.45 ,2.96 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.92 ,1.58 ,2.22 ,3.12 ,4.16 ,5.38 ,4.71 ,4.07 
9441,ADVt,Addington Village,4,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
9440,ADSt,Addiscombe,4,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
502,ALDu,Aldgate,1,6345.76 ,103.57 ,678.49 ,2701.65 ,1447.28 ,892.39 ,522.38 ,3.10 ,4.36 ,5.98 ,9.96 ,13.63 ,17.02 ,22.09 ,27.43 ,28.60 ,28.34 ,32.71 ,34.44 ,37.49 ,42.96 ,52.43 ,61.88 ,72.69 ,82.92 ,97.88 ,106.17 ,114.11 ,116.29 ,121.61 ,119.06 ,119.23 ,113.86 ,116.22 ,113.83 ,115.01 ,116.90 ,124.42 ,123.48 ,122.09 ,118.22 ,115.35 ,111.10 ,109.36 ,104.97 ,102.78 ,98.10 ,93.75 ,94.88 ,106.98 ,110.04 ,114.74 ,119.25 ,119.75 ,114.67 ,118.10 ,118.17 ,120.04 ,122.87 ,127.12 ,125.80 ,126.66 ,120.10 ,110.11 ,96.71 ,86.37 ,75.06 ,65.62 ,63.02 ,65.50 ,65.86 ,67.97 ,68.01 ,67.23 ,60.94 ,61.51 ,61.03 ,65.13 ,62.76 ,61.77 ,57.57 ,50.04 ,39.48 ,30.01 ,19.57 ,9.86 ,3.63 ,0.01 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
