Station Exits,,,,,,,,,,hour (hr),5.00 ,5.00 ,5.00 ,5.00 ,6.00 ,6.00 ,6.00 ,6.00 ,7.00 ,7.00 ,7.00 ,7.00 ,8.00 ,8.00 ,8.00 ,8.00 ,9.00 ,9.00 ,9.00 ,9.00 ,10.00 ,10.00 ,10.00 ,10.00 ,11.00 ,11.00 ,11.00 ,11.00 ,12.00 ,12.00 ,12.00 ,12.00 ,13.00 ,13.00 ,13.00 ,13.00 ,14.00 ,14.00 ,14.00 ,14.00 ,15.00 ,15.00 ,15.00 ,15.00 ,16.00 ,16.00 ,16.00 ,16.00 ,17.00 ,17.00 ,17.00 ,17.00 ,18.00 ,18.00 ,18.00 ,18.00 ,19.00 ,19.00 ,19.00 ,19.00 ,20.00 ,20.00 ,20.00 ,20.00 ,21.00 ,21.00 ,21.00 ,21.00 ,22.00 ,22.00 ,22.00 ,22.00 ,23.00 ,23.00 ,23.00 ,23.00 ,24.00 ,25.00 ,26.00 ,27.00 ,25.00 ,25.00 ,25.00 ,25.00 ,26.00 ,26.00 ,26.00 ,26.00 ,27.00 ,27.00 ,27.00 ,27.00 ,28.00 ,28.00 ,28.00 ,28.00 
,,,,,,,,,,quarter hour (qhr),21.00 ,22.00 ,23.00 ,24.00 ,25.00 ,26.00 ,27.00 ,28.00 ,29.00 ,30.00 ,31.00 ,32.00 ,33.00 ,34.00 ,35.00 ,36.00 ,37.00 ,38.00 ,39.00 ,40.00 ,41.00 ,42.00 ,43.00 ,44.00 ,45.00 ,46.00 ,47.00 ,48.00 ,49.00 ,50.00 ,51.00 ,52.00 ,53.00 ,54.00 ,55.00 ,56.00 ,57.00 ,58.00 ,59.00 ,60.00 ,61.00 ,62.00 ,63.00 ,64.00 ,65.00 ,66.00 ,67.00 ,68.00 ,69.00 ,70.00 ,71.00 ,72.00 ,73.00 ,74.00 ,75.00 ,76.00 ,77.00 ,78.00 ,79.00 ,80.00 ,81.00 ,82.00 ,83.00 ,84.00 ,85.00 ,86.00 ,87.00 ,88.00 ,89.00 ,90.00 ,91.00 ,92.00 ,93.00 ,94.00 ,95.00 ,96.00 ,97.00 ,98.00 ,99.00 ,100.00 ,101.00 ,102.00 ,103.00 ,104.00 ,105.00 ,106.00 ,107.00 ,108.00 ,109.00 ,110.00 ,111.00 ,112.00 ,113.00 ,114.00 ,115.00 ,116.00 
NLC,ASC,Station,Fare Zone,Total,Early     ,AM Peak   ,Midday    ,PM Peak   ,Evening   ,Late      ,0500-0515,0515-0530,0530-0545,0545-0600,0600-0615,0615-0630,0630-0645,0645-0700,0700-0715,0715-0730,0730-0745,0745-0800,0800-0815,0815-0830,0830-0845,0845-0900,0900-0915,0915-0930,0930-0945,0945-1000,1000-1015,1015-1030,1030-1045,1045-1100,1100-1115,1115-1130,1130-1145,1145-1200,1200-1215,1215-1230,1230-1245,1245-1300,1300-1315,1315-1330,1330-1345,1345-1400,1400-1415,1415-1430,1430-1445,1445-1500,1500-1515,1515-1530,1530-1545,1545-1600,1600-1615,1615-1630,1630-1645,1645-1700,1700-1715,1715-1730,1730-1745,1745-1800,1800-1815,1815-1830,1830-1845,1845-1900,1900-1915,1915-1930,1930-1945,1945-2000,2000-2015,2015-2030,2030-2045,2045-2100,2100-2115,2115-2130,2130-2145,2145-2200,2200-2215,2215-2230,2230-2245,2245-2300,2300-2315,2315-2330,2330-2345,2345-0000,0000-0015,0015-0030,0030-0045,0045-0100,0100-0115,0115-0130,0130-0145,0145-0200,0200-0215,0215-0230,0230-0245,0245-0300,0300-0315,0315-0330,0330-0345,0345-0400,0400-0415,0415-0430,0430-0445,0445-0500
750,ABRd,Abbey Road,2/3,1510.94 ,59.99 ,167.88 ,514.83 ,347.38 ,259.97 ,160.89 ,0.35 ,0.82 ,1.54 ,4.31 ,7.20 ,12.38 ,15.66 ,17.73 ,17.39 ,16.27 ,11.59 ,9.83 ,8.90 ,11.00 ,11.86 ,14.70 ,16.31 ,18.40 ,15.59 ,16.03 ,15.30 ,14.91 ,13.65 ,14.85 ,15.36 ,17.93 ,18.51 ,20.54 ,21.41 ,22.46 ,21.35 ,23.52 ,23.23 ,24.93 ,24.27 ,25.64 ,23.89 ,26.14 ,24.86 ,26.44 ,24.47 ,25.45 ,22.53 ,23.21 ,24.29 ,26.86 ,26.63 ,28.38 ,28.97 ,29.35 ,28.17 ,31.17 ,31.40 ,32.87 ,29.59 ,29.72 ,27.11 ,27.11 ,24.45 ,25.34 ,23.54 ,21.80 ,19.61 ,19.53 ,18.65 ,18.28 ,17.31 ,17.25 ,16.82 ,16.48 ,16.94 ,18.18 ,18.17 ,18.85 ,16.94 ,14.72 ,11.11 ,7.60 ,3.17 ,1.66 ,0.25 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
1404,ACCr,Acton Central,3,1996.82 ,6.88 ,163.58 ,729.60 ,593.48 ,327.02 ,176.26 ,0.00 ,0.00 ,0.05 ,0.10 ,0.24 ,0.85 ,1.35 ,4.28 ,7.58 ,9.87 ,12.90 ,15.45 ,14.74 ,14.27 ,13.94 ,12.22 ,12.61 ,15.27 ,16.81 ,17.93 ,19.45 ,19.55 ,17.87 ,17.08 ,18.66 ,22.31 ,23.32 ,25.56 ,26.21 ,27.07 ,25.89 ,27.78 ,30.11 ,34.55 ,37.53 ,38.68 ,40.18 ,39.87 ,39.76 ,38.63 ,39.05 ,39.11 ,40.56 ,40.84 ,44.59 ,47.93 ,50.51 ,49.66 ,51.72 ,52.12 ,50.39 ,51.11 ,52.58 ,50.08 ,45.96 ,46.83 ,43.33 ,38.84 ,36.05 ,33.09 ,27.15 ,23.42 ,23.15 ,20.90 ,20.34 ,21.01 ,20.32 ,19.38 ,19.97 ,19.01 ,18.84 ,17.97 ,18.57 ,19.93 ,20.38 ,15.86 ,13.34 ,8.86 ,3.52 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
3000,AMLr,Acton Main Line,3,1415.93 ,92.12 ,96.26 ,348.72 ,350.07 ,278.03 ,250.73 ,6.20 ,9.02 ,9.39 ,15.20 ,14.29 ,13.02 ,11.55 ,13.45 ,7.63 ,7.96 ,9.14 ,8.97 ,8.25 ,7.81 ,8.14 ,7.61 ,8.06 ,7.86 ,7.65 ,7.19 ,7.73 ,7.42 ,7.67 ,8.78 ,10.19 ,10.33 ,10.68 ,11.30 ,11.96 ,12.19 ,12.66 ,14.48 ,16.59 ,17.23 ,17.29 ,17.63 ,17.43 ,16.24 ,16.03 ,17.57 ,19.65 ,20.85 ,22.68 ,24.14 ,25.13 ,25.58 ,26.24 ,27.56 ,28.29 ,29.45 ,30.32 ,31.64 ,31.19 ,32.77 ,31.80 ,30.08 ,28.77 ,28.35 ,25.07 ,24.57 ,24.52 ,23.51 ,21.64 ,21.62 ,21.10 ,19.90 ,18.95 ,20.01 ,26.09 ,27.83 ,29.84 ,35.42 ,38.71 ,32.09 ,25.68 ,20.19 ,11.40 ,3.48 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
500,ACTu,Acton Town,3,7572.32 ,182.15 ,741.38 ,2527.84 ,1666.35 ,1325.55 ,1129.05 ,7.80 ,12.05 ,16.51 ,17.16 ,23.77 ,29.59 ,33.87 ,41.40 ,49.03 ,52.29 ,54.91 ,59.66 ,59.71 ,60.52 ,61.36 ,65.65 ,68.70 ,70.53 ,69.57 ,69.45 ,72.08 ,70.55 ,72.60 ,74.41 ,81.86 ,83.06 ,87.97 ,90.84 ,98.11 ,102.10 ,107.50 ,111.73 ,120.85 ,122.96 ,123.50 ,124.01 ,126.72 ,122.35 ,121.88 ,121.39 ,124.62 ,121.99 ,122.54 ,122.21 ,125.43 ,121.43 ,124.90 ,128.18 ,135.50 ,140.94 ,146.93 ,148.01 ,151.11 ,150.15 ,147.62 ,146.14 ,144.43 ,136.37 ,128.93 ,119.08 ,116.28 ,107.11 ,104.43 ,101.24 ,98.15 ,90.07 ,90.33 ,89.13 ,89.50 ,94.23 ,100.38 ,99.68 ,101.78 ,97.34 ,99.76 ,95.58 ,93.63 ,75.17 ,60.43 ,36.85 ,17.89 ,2.56 ,0.39 ,0.04 ,0.04 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,2.58 ,7.02 ,12.52 ,14.75 ,14.75 ,12.17 
9441,ADVt,Addington Village,4,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
9440,ADSt,Addiscombe,4,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
502,ALDu,Aldgate,1,7966.78 ,112.27 ,801.55 ,3253.79 ,1782.83 ,1210.02 ,806.32 ,1.71 ,2.11 ,4.84 ,5.70 ,11.57 ,18.74 ,30.10 ,37.49 ,50.69 ,53.21 ,53.10 ,49.80 ,48.46 ,45.92 ,50.99 ,63.06 ,77.03 ,94.08 ,102.29 ,112.92 ,116.72 ,120.26 ,118.43 ,124.19 ,124.28 ,134.01 ,134.51 ,141.07 ,138.82 ,142.30 ,133.00 ,136.66 ,130.01 ,136.68 ,134.93 ,143.06 ,139.00 ,149.08 ,145.83 ,150.93 ,144.66 ,146.53 ,133.05 ,135.81 ,129.55 ,138.37 ,138.30 ,151.05 ,149.76 ,161.16 ,155.04 ,162.08 ,156.00 ,155.68 ,143.38 ,142.47 ,128.83 ,124.26 ,117.73 ,114.29 ,109.26 ,103.81 ,98.48 ,89.82 ,83.99 ,79.64 ,80.98 ,78.94 ,81.38 ,84.73 ,89.54 ,88.45 ,91.97 ,90.82 ,81.98 ,71.34 ,55.39 ,36.63 ,22.02 ,11.93 ,0.13 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
