Station Entries,,,,,,,,,,hour (hr),5.00 ,5.00 ,5.00 ,5.00 ,6.00 ,6.00 ,6.00 ,6.00 ,7.00 ,7.00 ,7.00 ,7.00 ,8.00 ,8.00 ,8.00 ,8.00 ,9.00 ,9.00 ,9.00 ,9.00 ,10.00 ,10.00 ,10.00 ,10.00 ,11.00 ,11.00 ,11.00 ,11.00 ,12.00 ,12.00 ,12.00 ,12.00 ,13.00 ,13.00 ,13.00 ,13.00 ,14.00 ,14.00 ,14.00 ,14.00 ,15.00 ,15.00 ,15.00 ,15.00 ,16.00 ,16.00 ,16.00 ,16.00 ,17.00 ,17.00 ,17.00 ,17.00 ,18.00 ,18.00 ,18.00 ,18.00 ,19.00 ,19.00 ,19.00 ,19.00 ,20.00 ,20.00 ,20.00 ,20.00 ,21.00 ,21.00 ,21.00 ,21.00 ,22.00 ,22.00 ,22.00 ,22.00 ,23.00 ,23.00 ,23.00 ,23.00 ,24.00 ,25.00 ,26.00 ,27.00 ,25.00 ,25.00 ,25.00 ,25.00 ,26.00 ,26.00 ,26.00 ,26.00 ,27.00 ,27.00 ,27.00 ,27.00 ,28.00 ,28.00 ,28.00 ,28.00 
,,,,,,,,,,quarter hour (qhr),21.00 ,22.00 ,23.00 ,24.00 ,25.00 ,26.00 ,27.00 ,28.00 ,29.00 ,30.00 ,31.00 ,32.00 ,33.00 ,34.00 ,35.00 ,36.00 ,37.00 ,38.00 ,39.00 ,40.00 ,41.00 ,42.00 ,43.00 ,44.00 ,45.00 ,46.00 ,47.00 ,48.00 ,49.00 ,50.00 ,51.00 ,52.00 ,53.00 ,54.00 ,55.00 ,56.00 ,57.00 ,58.00 ,59.00 ,60.00 ,61.00 ,62.00 ,63.00 ,64.00 ,65.00 ,66.00 ,67.00 ,68.00 ,69.00 ,70.00 ,71.00 ,72.00 ,73.00 ,74.00 ,75.00 ,76.00 ,77.00 ,78.00 ,79.00 ,80.00 ,81.00 ,82.00 ,83.00 ,84.00 ,85.00 ,86.00 ,87.00 ,88.00 ,89.00 ,90.00 ,91.00 ,92.00 ,93.00 ,94.00 ,95.00 ,96.00 ,97.00 ,98.00 ,99.00 ,100.00 ,101.00 ,102.00 ,103.00 ,104.00 ,105.00 ,106.00 ,107.00 ,108.00 ,109.00 ,110.00 ,111.00 ,112.00 ,113.00 ,114.00 ,115.00 ,116.00 
NLC,ASC,Station,Fare Zone,Total,Early     ,AM Peak   ,Midday    ,PM Peak   ,Evening   ,Late      ,0500-0515,0515-0530,0530-0545,0545-0600,0600-0615,0615-0630,0630-0645,0645-0700,0700-0715,0715-0730,0730-0745,0745-0800,0800-0815,0815-0830,0830-0845,0845-0900,0900-0915,0915-0930,0930-0945,0945-1000,1000-1015,1015-1030,1030-1045,1045-1100,1100-1115,1115-1130,1130-1145,1145-1200,1200-1215,1215-1230,1230-1245,1245-1300,1300-1315,1315-1330,1330-1345,1345-1400,1400-1415,1415-1430,1430-1445,1445-1500,1500-1515,1515-1530,1530-1545,1545-1600,1600-1615,1615-1630,1630-1645,1645-1700,1700-1715,1715-1730,1730-1745,1745-1800,1800-1815,1815-1830,1830-1845,1845-1900,1900-1915,1915-1930,1930-1945,1945-2000,2000-2015,2015-2030,2030-2045,2045-2100,2100-2115,2115-2130,2130-2145,2145-2200,2200-2215,2215-2230,2230-2245,2245-2300,2300-2315,2315-2330,2330-2345,2345-0000,0000-0015,0015-0030,0030-0045,0045-0100,0100-0115,0115-0130,0130-0145,0145-0200,0200-0215,0215-0230,0230-0245,0245-0300,0300-0315,0315-0330,0330-0345,0345-0400,0400-0415,0415-0430,0430-0445,0445-0500
750,ABRd,Abbey Road,2/3,1138.76 ,8.21 ,157.92 ,543.19 ,252.54 ,137.56 ,39.33 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,3.10 ,5.10 ,7.98 ,9.73 ,12.31 ,11.94 ,13.42 ,12.99 ,14.49 ,14.31 ,14.50 ,14.26 ,15.85 ,16.13 ,17.72 ,18.85 ,19.15 ,20.26 ,20.95 ,21.03 ,22.44 ,23.49 ,22.75 ,22.60 ,23.71 ,23.89 ,23.76 ,24.40 ,26.01 ,26.60 ,25.67 ,25.40 ,24.89 ,22.81 ,21.78 ,21.85 ,21.63 ,21.58 ,22.93 ,22.59 ,22.68 ,23.29 ,23.34 ,21.40 ,20.80 ,19.64 ,19.55 ,19.23 ,19.30 ,17.78 ,16.73 ,15.06 ,12.99 ,12.28 ,11.68 ,11.27 ,10.65 ,10.36 ,10.03 ,9.97 ,8.81 ,7.72 ,7.03 ,6.09 ,6.36 ,6.33 ,5.26 ,4.10 ,3.01 ,1.12 ,0.05 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
1404,ACCr,Acton Central,3,1419.08 ,0.00 ,93.59 ,889.02 ,269.98 ,124.67 ,41.83 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,4.81 ,7.61 ,13.37 ,18.79 ,23.47 ,25.54 ,29.09 ,29.65 ,33.54 ,33.76 ,39.28 ,36.92 ,44.33 ,39.97 ,50.14 ,41.60 ,49.96 ,40.99 ,48.59 ,36.94 ,43.47 ,35.74 ,40.13 ,33.25 ,37.59 ,30.12 ,32.96 ,28.49 ,28.74 ,23.75 ,26.51 ,21.99 ,23.79 ,21.55 ,25.00 ,23.11 ,25.19 ,22.10 ,22.90 ,19.25 ,20.72 ,17.86 ,17.75 ,15.17 ,14.22 ,11.24 ,10.58 ,8.29 ,8.85 ,8.42 ,8.07 ,7.50 ,7.70 ,6.89 ,7.84 ,7.36 ,8.40 ,7.22 ,5.58 ,3.44 ,1.99 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
3000,AMLr,Acton Main Line,3,1124.40 ,0.00 ,106.27 ,663.56 ,245.63 ,98.29 ,10.66 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,2.11 ,3.88 ,6.53 ,9.31 ,11.33 ,11.36 ,12.90 ,14.38 ,15.72 ,18.76 ,22.33 ,24.45 ,26.50 ,29.35 ,31.80 ,33.20 ,33.97 ,34.48 ,32.80 ,32.52 ,32.36 ,31.24 ,30.53 ,29.62 ,27.76 ,26.12 ,25.58 ,24.09 ,24.42 ,22.91 ,22.90 ,22.37 ,20.90 ,21.37 ,22.75 ,22.19 ,22.28 ,23.39 ,23.07 ,22.02 ,20.62 ,20.29 ,19.27 ,17.49 ,16.92 ,15.33 ,14.03 ,12.14 ,10.76 ,8.30 ,8.31 ,7.03 ,7.12 ,6.32 ,7.00 ,6.24 ,5.83 ,5.19 ,4.65 ,2.81 ,1.80 ,1.03 ,0.37 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
500,ACTu,Acton Town,3,4593.63 ,156.69 ,668.69 ,2411.73 ,797.89 ,414.07 ,144.56 ,6.47 ,9.54 ,14.19 ,19.26 ,21.97 ,25.07 ,28.81 ,31.38 ,33.11 ,34.44 ,39.05 ,44.05 ,48.25 ,51.80 ,58.33 ,62.01 ,65.21 ,69.39 ,77.34 ,85.72 ,91.25 ,95.08 ,99.22 ,104.05 ,102.77 ,108.90 ,114.00 ,119.69 ,118.10 ,119.90 ,115.25 ,113.12 ,107.44 ,106.00 ,103.86 ,102.54 ,99.85 ,96.72 ,91.36 ,88.95 ,84.40 ,79.37 ,75.60 ,74.31 ,71.30 ,68.31 ,67.41 ,67.94 ,67.59 ,66.23 ,67.78 ,68.51 ,67.61 ,65.00 ,62.38 ,57.81 ,51.30 ,46.35 ,43.92 ,40.77 ,37.21 ,34.84 ,32.87 ,28.93 ,25.47 ,24.25 ,24.90 ,23.27 ,22.25 ,21.14 ,20.19 ,16.44 ,13.94 ,12.82 ,9.98 ,6.38 ,4.43 ,3.00 ,0.18 ,0.10 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,1.25 ,4.15 ,4.15 ,4.15 
9441,ADVt,Addington Village,4,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
9440,ADSt,Addiscombe,4,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
502,ALDu,Aldgate,1,5376.15 ,18.64 ,622.06 ,2482.89 ,1306.35 ,686.45 ,259.75 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,1.86 ,6.06 ,10.72 ,16.63 ,21.95 ,26.93 ,30.64 ,34.75 ,39.42 ,48.70 ,56.63 ,69.47 ,81.84 ,93.18 ,101.91 ,111.04 ,112.55 ,117.96 ,122.48 ,122.62 ,119.48 ,118.91 ,111.65 ,103.61 ,97.14 ,94.02 ,89.25 ,88.72 ,87.78 ,87.57 ,89.31 ,88.38 ,87.09 ,91.11 ,95.86 ,101.21 ,109.58 ,116.93 ,118.66 ,122.05 ,121.29 ,125.25 ,120.31 ,121.93 ,114.87 ,111.27 ,102.08 ,100.70 ,93.01 ,90.21 ,83.39 ,78.37 ,70.58 ,63.50 ,58.38 ,54.74 ,50.35 ,55.63 ,56.30 ,53.79 ,51.72 ,50.09 ,43.01 ,39.22 ,38.41 ,36.13 ,32.78 ,28.76 ,25.50 ,19.84 ,16.23 ,11.47 ,6.58 ,2.90 ,1.93 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
