Station Exits,,,,,,,,,,hour (hr),5.00 ,5.00 ,5.00 ,5.00 ,6.00 ,6.00 ,6.00 ,6.00 ,7.00 ,7.00 ,7.00 ,7.00 ,8.00 ,8.00 ,8.00 ,8.00 ,9.00 ,9.00 ,9.00 ,9.00 ,10.00 ,10.00 ,10.00 ,10.00 ,11.00 ,11.00 ,11.00 ,11.00 ,12.00 ,12.00 ,12.00 ,12.00 ,13.00 ,13.00 ,13.00 ,13.00 ,14.00 ,14.00 ,14.00 ,14.00 ,15.00 ,15.00 ,15.00 ,15.00 ,16.00 ,16.00 ,16.00 ,16.00 ,17.00 ,17.00 ,17.00 ,17.00 ,18.00 ,18.00 ,18.00 ,18.00 ,19.00 ,19.00 ,19.00 ,19.00 ,20.00 ,20.00 ,20.00 ,20.00 ,21.00 ,21.00 ,21.00 ,21.00 ,22.00 ,22.00 ,22.00 ,22.00 ,23.00 ,23.00 ,23.00 ,23.00 ,24.00 ,25.00 ,26.00 ,27.00 ,25.00 ,25.00 ,25.00 ,25.00 ,26.00 ,26.00 ,26.00 ,26.00 ,27.00 ,27.00 ,27.00 ,27.00 ,28.00 ,28.00 ,28.00 ,28.00 
,,,,,,,,,,quarter hour (qhr),21.00 ,22.00 ,23.00 ,24.00 ,25.00 ,26.00 ,27.00 ,28.00 ,29.00 ,30.00 ,31.00 ,32.00 ,33.00 ,34.00 ,35.00 ,36.00 ,37.00 ,38.00 ,39.00 ,40.00 ,41.00 ,42.00 ,43.00 ,44.00 ,45.00 ,46.00 ,47.00 ,48.00 ,49.00 ,50.00 ,51.00 ,52.00 ,53.00 ,54.00 ,55.00 ,56.00 ,57.00 ,58.00 ,59.00 ,60.00 ,61.00 ,62.00 ,63.00 ,64.00 ,65.00 ,66.00 ,67.00 ,68.00 ,69.00 ,70.00 ,71.00 ,72.00 ,73.00 ,74.00 ,75.00 ,76.00 ,77.00 ,78.00 ,79.00 ,80.00 ,81.00 ,82.00 ,83.00 ,84.00 ,85.00 ,86.00 ,87.00 ,88.00 ,89.00 ,90.00 ,91.00 ,92.00 ,93.00 ,94.00 ,95.00 ,96.00 ,97.00 ,98.00 ,99.00 ,100.00 ,101.00 ,102.00 ,103.00 ,104.00 ,105.00 ,106.00 ,107.00 ,108.00 ,109.00 ,110.00 ,111.00 ,112.00 ,113.00 ,114.00 ,115.00 ,116.00 
NLC,ASC,Station,Fare Zone,Total,Early     ,AM Peak   ,Midday    ,PM Peak   ,Evening   ,Late      ,0500-0515,0515-0530,0530-0545,0545-0600,0600-0615,0615-0630,0630-0645,0645-0700,0700-0715,0715-0730,0730-0745,0745-0800,0800-0815,0815-0830,0830-0845,0845-0900,0900-0915,0915-0930,0930-0945,0945-1000,1000-1015,1015-1030,1030-1045,1045-1100,1100-1115,1115-1130,1130-1145,1145-1200,1200-1215,1215-1230,1230-1245,1245-1300,1300-1315,1315-1330,1330-1345,1345-1400,1400-1415,1415-1430,1430-1445,1445-1500,1500-1515,1515-1530,1530-1545,1545-1600,1600-1615,1615-1630,1630-1645,1645-1700,1700-1715,1715-1730,1730-1745,1745-1800,1800-1815,1815-1830,1830-1845,1845-1900,1900-1915,1915-1930,1930-1945,1945-2000,2000-2015,2015-2030,2030-2045,2045-2100,2100-2115,2115-2130,2130-2145,2145-2200,2200-2215,2215-2230,2230-2245,2245-2300,2300-2315,2315-2330,2330-2345,2345-0000,0000-0015,0015-0030,0030-0045,0045-0100,0100-0115,0115-0130,0130-0145,0145-0200,0200-0215,0215-0230,0230-0245,0245-0300,0300-0315,0315-0330,0330-0345,0345-0400,0400-0415,0415-0430,0430-0445,0445-0500
750,ABRd,Abbey Road,2/3,1093.48 ,2.89 ,99.12 ,399.36 ,287.35 ,198.96 ,105.80 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.81 ,2.09 ,4.00 ,5.72 ,7.86 ,8.32 ,8.88 ,9.94 ,9.84 ,9.42 ,9.96 ,9.02 ,7.81 ,8.34 ,9.07 ,9.27 ,10.78 ,10.71 ,10.27 ,10.37 ,11.05 ,11.84 ,13.15 ,14.50 ,14.87 ,16.67 ,16.85 ,19.48 ,20.04 ,21.65 ,22.12 ,24.70 ,22.03 ,22.95 ,22.02 ,22.27 ,20.48 ,22.22 ,22.26 ,25.53 ,24.11 ,25.35 ,25.16 ,25.45 ,22.55 ,23.83 ,23.18 ,23.91 ,23.00 ,23.02 ,21.67 ,20.55 ,17.86 ,17.33 ,16.31 ,16.00 ,15.17 ,15.65 ,14.95 ,14.63 ,14.45 ,14.39 ,14.00 ,13.52 ,13.99 ,14.69 ,15.43 ,12.78 ,10.52 ,7.41 ,3.47 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
1404,ACCr,Acton Central,3,1352.87 ,0.00 ,18.82 ,603.05 ,445.35 ,205.37 ,80.28 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.06 ,0.46 ,0.82 ,3.51 ,5.53 ,8.43 ,11.79 ,14.82 ,15.53 ,18.30 ,19.47 ,21.71 ,22.87 ,23.40 ,21.82 ,22.75 ,21.66 ,21.90 ,23.04 ,26.26 ,26.53 ,27.80 ,29.36 ,29.32 ,30.52 ,32.07 ,33.93 ,34.42 ,37.09 ,36.71 ,37.78 ,36.49 ,36.25 ,36.92 ,38.17 ,38.02 ,39.72 ,40.83 ,39.70 ,36.97 ,34.25 ,30.25 ,26.13 ,22.83 ,20.49 ,17.78 ,16.90 ,16.38 ,15.25 ,14.94 ,14.84 ,14.00 ,13.22 ,12.62 ,11.49 ,12.77 ,13.34 ,13.58 ,11.36 ,9.39 ,5.82 ,2.53 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
3000,AMLr,Acton Main Line,3,1339.43 ,0.00 ,39.29 ,410.98 ,487.13 ,314.06 ,87.96 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.49 ,1.10 ,1.77 ,2.52 ,3.66 ,5.16 ,7.02 ,7.77 ,9.80 ,9.56 ,10.19 ,9.65 ,9.38 ,9.65 ,10.54 ,9.87 ,10.35 ,12.88 ,13.95 ,16.05 ,16.71 ,18.05 ,18.21 ,18.09 ,18.03 ,19.83 ,21.14 ,21.98 ,23.30 ,26.63 ,28.01 ,28.78 ,30.13 ,32.59 ,32.81 ,35.39 ,38.52 ,41.75 ,46.26 ,46.92 ,46.98 ,46.83 ,43.11 ,38.58 ,37.39 ,32.96 ,28.82 ,28.47 ,26.45 ,24.54 ,25.71 ,26.21 ,26.20 ,24.36 ,23.39 ,23.78 ,23.17 ,24.81 ,22.32 ,18.36 ,12.81 ,8.25 ,1.42 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
500,ACTu,Acton Town,3,4721.28 ,88.15 ,440.44 ,1493.30 ,1303.49 ,917.88 ,478.02 ,3.03 ,4.47 ,7.17 ,8.58 ,12.71 ,14.09 ,17.96 ,20.13 ,24.62 ,27.10 ,29.87 ,31.65 ,34.18 ,35.50 ,37.46 ,39.65 ,42.87 ,45.00 ,46.73 ,45.81 ,49.37 ,48.51 ,47.24 ,45.64 ,47.05 ,45.59 ,45.30 ,46.59 ,50.56 ,54.76 ,57.84 ,62.04 ,66.37 ,68.21 ,70.01 ,70.93 ,73.22 ,74.38 ,76.65 ,74.87 ,77.57 ,77.98 ,80.96 ,81.66 ,87.44 ,90.06 ,95.64 ,98.46 ,103.08 ,104.94 ,111.11 ,115.20 ,120.30 ,126.87 ,127.69 ,122.72 ,117.08 ,105.16 ,93.05 ,82.77 ,76.85 ,67.19 ,64.76 ,59.62 ,62.11 ,61.62 ,63.03 ,64.64 ,64.70 ,60.08 ,55.08 ,53.90 ,51.22 ,47.68 ,43.29 ,37.74 ,28.61 ,18.10 ,10.71 ,5.28 ,1.54 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.01 ,0.01 ,0.01 ,0.02 ,0.01 ,0.01 
9441,ADVt,Addington Village,4,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
9440,ADSt,Addiscombe,4,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
502,ALDu,Aldgate,1,5756.18 ,3.59 ,443.45 ,2449.42 ,1427.83 ,964.23 ,467.65 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.21 ,0.79 ,2.60 ,9.22 ,15.17 ,20.23 ,27.12 ,32.02 ,34.49 ,34.84 ,39.88 ,44.17 ,54.95 ,60.69 ,70.68 ,78.89 ,88.06 ,88.12 ,93.45 ,98.35 ,103.92 ,101.46 ,104.94 ,104.97 ,105.81 ,100.19 ,103.60 ,101.20 ,104.96 ,104.41 ,106.02 ,101.64 ,105.03 ,102.05 ,104.79 ,103.64 ,111.95 ,114.14 ,117.80 ,116.36 ,125.09 ,121.56 ,124.67 ,121.42 ,124.88 ,118.11 ,121.36 ,115.71 ,117.73 ,110.82 ,110.12 ,99.69 ,93.55 ,85.26 ,81.00 ,77.22 ,76.14 ,75.26 ,75.30 ,74.36 ,73.99 ,76.00 ,76.46 ,74.46 ,69.69 ,65.00 ,60.23 ,52.66 ,44.54 ,40.07 ,28.72 ,17.46 ,9.95 ,4.89 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
