Station Entries,,,,,,,,,,hour (hr),5.00 ,5.00 ,5.00 ,5.00 ,6.00 ,6.00 ,6.00 ,6.00 ,7.00 ,7.00 ,7.00 ,7.00 ,8.00 ,8.00 ,8.00 ,8.00 ,9.00 ,9.00 ,9.00 ,9.00 ,10.00 ,10.00 ,10.00 ,10.00 ,11.00 ,11.00 ,11.00 ,11.00 ,12.00 ,12.00 ,12.00 ,12.00 ,13.00 ,13.00 ,13.00 ,13.00 ,14.00 ,14.00 ,14.00 ,14.00 ,15.00 ,15.00 ,15.00 ,15.00 ,16.00 ,16.00 ,16.00 ,16.00 ,17.00 ,17.00 ,17.00 ,17.00 ,18.00 ,18.00 ,18.00 ,18.00 ,19.00 ,19.00 ,19.00 ,19.00 ,20.00 ,20.00 ,20.00 ,20.00 ,21.00 ,21.00 ,21.00 ,21.00 ,22.00 ,22.00 ,22.00 ,22.00 ,23.00 ,23.00 ,23.00 ,23.00 ,24.00 ,25.00 ,26.00 ,27.00 ,25.00 ,25.00 ,25.00 ,25.00 ,26.00 ,26.00 ,26.00 ,26.00 ,27.00 ,27.00 ,27.00 ,27.00 ,28.00 ,28.00 ,28.00 ,28.00 
,,,,,,,,,,quarter hour (qhr),21.00 ,22.00 ,23.00 ,24.00 ,25.00 ,26.00 ,27.00 ,28.00 ,29.00 ,30.00 ,31.00 ,32.00 ,33.00 ,34.00 ,35.00 ,36.00 ,37.00 ,38.00 ,39.00 ,40.00 ,41.00 ,42.00 ,43.00 ,44.00 ,45.00 ,46.00 ,47.00 ,48.00 ,49.00 ,50.00 ,51.00 ,52.00 ,53.00 ,54.00 ,55.00 ,56.00 ,57.00 ,58.00 ,59.00 ,60.00 ,61.00 ,62.00 ,63.00 ,64.00 ,65.00 ,66.00 ,67.00 ,68.00 ,69.00 ,70.00 ,71.00 ,72.00 ,73.00 ,74.00 ,75.00 ,76.00 ,77.00 ,78.00 ,79.00 ,80.00 ,81.00 ,82.00 ,83.00 ,84.00 ,85.00 ,86.00 ,87.00 ,88.00 ,89.00 ,90.00 ,91.00 ,92.00 ,93.00 ,94.00 ,95.00 ,96.00 ,97.00 ,98.00 ,99.00 ,100.00 ,101.00 ,102.00 ,103.00 ,104.00 ,105.00 ,106.00 ,107.00 ,108.00 ,109.00 ,110.00 ,111.00 ,112.00 ,113.00 ,114.00 ,115.00 ,116.00 
NLC,ASC,Station,Fare Zone,Total,Early     ,AM Peak   ,Midday    ,PM Peak   ,Evening   ,Late      ,0500-0515,0515-0530,0530-0545,0545-0600,0600-0615,0615-0630,0630-0645,0645-0700,0700-0715,0715-0730,0730-0745,0745-0800,0800-0815,0815-0830,0830-0845,0845-0900,0900-0915,0915-0930,0930-0945,0945-1000,1000-1015,1015-1030,1030-1045,1045-1100,1100-1115,1115-1130,1130-1145,1145-1200,1200-1215,1215-1230,1230-1245,1245-1300,1300-1315,1315-1330,1330-1345,1345-1400,1400-1415,1415-1430,1430-1445,1445-1500,1500-1515,1515-1530,1530-1545,1545-1600,1600-1615,1615-1630,1630-1645,1645-1700,1700-1715,1715-1730,1730-1745,1745-1800,1800-1815,1815-1830,1830-1845,1845-1900,1900-1915,1915-1930,1930-1945,1945-2000,2000-2015,2015-2030,2030-2045,2045-2100,2100-2115,2115-2130,2130-2145,2145-2200,2200-2215,2215-2230,2230-2245,2245-2300,2300-2315,2315-2330,2330-2345,2345-0000,0000-0015,0015-0030,0030-0045,0045-0100,0100-0115,0115-0130,0130-0145,0145-0200,0200-0215,0215-0230,0230-0245,0245-0300,0300-0315,0315-0330,0330-0345,0345-0400,0400-0415,0415-0430,0430-0445,0445-0500
750,ABRd,Abbey Road,2/3,2148.56 ,184.66 ,589.62 ,672.90 ,438.51 ,197.49 ,65.38 ,4.34 ,7.49 ,11.32 ,18.55 ,26.10 ,30.61 ,39.84 ,46.42 ,50.23 ,54.84 ,59.28 ,60.30 ,58.94 ,56.45 ,53.10 ,47.87 ,41.71 ,38.94 ,35.69 ,32.27 ,29.45 ,26.94 ,26.03 ,25.76 ,24.84 ,23.91 ,23.33 ,23.01 ,23.74 ,23.24 ,23.86 ,25.50 ,24.75 ,23.84 ,25.38 ,25.92 ,26.17 ,28.15 ,29.34 ,32.02 ,35.28 ,38.23 ,40.77 ,43.43 ,44.66 ,42.98 ,42.89 ,41.43 ,40.07 ,36.51 ,35.66 ,32.33 ,31.22 ,31.41 ,30.86 ,28.48 ,27.06 ,24.54 ,20.07 ,18.02 ,17.62 ,15.85 ,14.78 ,13.34 ,12.46 ,11.66 ,11.36 ,10.74 ,12.09 ,11.13 ,9.82 ,8.55 ,7.27 ,4.74 ,3.89 ,2.86 ,2.14 ,1.42 ,0.97 ,0.39 ,0.12 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
1404,ACCr,Acton Central,3,2992.27 ,196.69 ,1040.33 ,752.24 ,741.65 ,196.75 ,64.61 ,0.00 ,0.00 ,5.64 ,12.69 ,23.90 ,34.86 ,51.73 ,67.87 ,88.39 ,97.55 ,111.71 ,123.49 ,121.62 ,108.82 ,100.62 ,86.99 ,66.15 ,53.45 ,45.77 ,35.78 ,32.21 ,30.07 ,28.58 ,26.57 ,29.58 ,26.44 ,24.91 ,23.82 ,23.32 ,22.80 ,23.55 ,24.37 ,24.56 ,25.91 ,27.07 ,27.30 ,28.65 ,30.59 ,31.05 ,34.03 ,41.72 ,48.49 ,54.72 ,61.93 ,68.99 ,71.62 ,74.12 ,75.59 ,75.55 ,69.64 ,65.56 ,60.67 ,54.24 ,46.76 ,42.70 ,36.22 ,27.82 ,23.00 ,20.50 ,17.95 ,13.82 ,15.38 ,14.41 ,14.34 ,13.46 ,13.27 ,11.61 ,11.17 ,10.44 ,10.39 ,11.86 ,10.16 ,9.01 ,6.42 ,4.00 ,1.31 ,0.83 ,0.18 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
3000,AMLr,Acton Main Line,3,3700.23 ,229.44 ,1461.20 ,1018.08 ,750.20 ,195.88 ,45.42 ,4.33 ,5.26 ,12.25 ,20.06 ,28.72 ,37.15 ,52.23 ,69.45 ,85.59 ,104.40 ,134.41 ,159.79 ,169.45 ,170.35 ,163.87 ,139.98 ,110.60 ,87.36 ,72.84 ,62.56 ,53.38 ,50.38 ,47.71 ,45.12 ,43.58 ,42.37 ,41.17 ,41.49 ,41.36 ,40.64 ,41.96 ,43.97 ,42.49 ,40.89 ,39.77 ,38.31 ,35.58 ,34.68 ,35.08 ,36.64 ,38.37 ,41.12 ,47.68 ,54.36 ,57.85 ,61.99 ,71.61 ,73.51 ,73.64 ,75.14 ,73.00 ,64.68 ,59.62 ,53.63 ,45.66 ,39.87 ,33.32 ,26.94 ,21.98 ,18.07 ,15.24 ,13.06 ,13.16 ,12.38 ,11.12 ,11.34 ,10.00 ,9.26 ,7.72 ,8.66 ,6.79 ,7.24 ,5.34 ,4.72 ,2.71 ,1.88 ,0.37 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
500,ACTu,Acton Town,3,8022.20 ,488.62 ,2686.39 ,2404.09 ,1752.97 ,499.03 ,191.09 ,10.50 ,19.54 ,33.24 ,49.63 ,62.51 ,80.86 ,103.45 ,128.90 ,157.26 ,198.05 ,246.57 ,286.61 ,305.90 ,310.26 ,290.57 ,250.80 ,205.72 ,169.70 ,141.02 ,123.92 ,109.45 ,99.85 ,94.30 ,94.26 ,90.43 ,87.97 ,88.60 ,90.45 ,86.49 ,85.97 ,88.52 ,87.97 ,87.51 ,89.49 ,89.91 ,91.50 ,93.42 ,95.02 ,98.20 ,108.27 ,113.80 ,124.57 ,149.40 ,158.76 ,165.09 ,170.00 ,175.47 ,164.85 ,164.06 ,158.37 ,156.79 ,146.67 ,133.94 ,120.62 ,106.64 ,90.48 ,74.27 ,60.54 ,52.37 ,45.67 ,39.77 ,37.17 ,35.74 ,33.98 ,31.96 ,29.75 ,29.02 ,28.79 ,25.67 ,23.66 ,22.70 ,20.47 ,16.82 ,15.36 ,12.56 ,9.66 ,7.20 ,5.44 ,3.10 ,2.35 ,1.52 ,0.63 ,0.10 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,7.95 ,7.95 ,7.95 
9441,ADVt,Addington Village,4,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
9440,ADSt,Addiscombe,4,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
502,ALDu,Aldgate,1,12612.36 ,261.03 ,1721.88 ,3266.36 ,5161.19 ,1597.96 ,603.94 ,5.38 ,6.38 ,12.32 ,19.29 ,31.43 ,43.98 ,62.39 ,79.86 ,95.52 ,105.98 ,122.93 ,143.47 ,164.13 ,179.57 ,185.91 ,180.31 ,166.36 ,142.20 ,123.95 ,111.54 ,107.46 ,98.90 ,99.27 ,100.32 ,103.50 ,100.35 ,105.23 ,108.10 ,114.65 ,116.71 ,131.68 ,138.47 ,144.31 ,140.33 ,144.25 ,134.98 ,132.20 ,129.61 ,141.39 ,146.62 ,169.91 ,187.75 ,222.71 ,247.67 ,287.15 ,313.35 ,390.48 ,447.90 ,518.68 ,560.72 ,593.94 ,550.16 ,491.70 ,405.55 ,337.52 ,264.04 ,213.29 ,176.24 ,159.84 ,135.75 ,125.17 ,124.00 ,124.15 ,117.91 ,112.86 ,108.83 ,101.85 ,98.08 ,92.35 ,88.09 ,83.54 ,76.25 ,64.37 ,55.62 ,48.09 ,35.48 ,25.94 ,18.16 ,10.47 ,3.80 ,1.77 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
