Station Exits,,,,,,,,,,hour (hr),5.00 ,5.00 ,5.00 ,5.00 ,6.00 ,6.00 ,6.00 ,6.00 ,7.00 ,7.00 ,7.00 ,7.00 ,8.00 ,8.00 ,8.00 ,8.00 ,9.00 ,9.00 ,9.00 ,9.00 ,10.00 ,10.00 ,10.00 ,10.00 ,11.00 ,11.00 ,11.00 ,11.00 ,12.00 ,12.00 ,12.00 ,12.00 ,13.00 ,13.00 ,13.00 ,13.00 ,14.00 ,14.00 ,14.00 ,14.00 ,15.00 ,15.00 ,15.00 ,15.00 ,16.00 ,16.00 ,16.00 ,16.00 ,17.00 ,17.00 ,17.00 ,17.00 ,18.00 ,18.00 ,18.00 ,18.00 ,19.00 ,19.00 ,19.00 ,19.00 ,20.00 ,20.00 ,20.00 ,20.00 ,21.00 ,21.00 ,21.00 ,21.00 ,22.00 ,22.00 ,22.00 ,22.00 ,23.00 ,23.00 ,23.00 ,23.00 ,24.00 ,25.00 ,26.00 ,27.00 ,25.00 ,25.00 ,25.00 ,25.00 ,26.00 ,26.00 ,26.00 ,26.00 ,27.00 ,27.00 ,27.00 ,27.00 ,28.00 ,28.00 ,28.00 ,28.00 
,,,,,,,,,,quarter hour (qhr),21.00 ,22.00 ,23.00 ,24.00 ,25.00 ,26.00 ,27.00 ,28.00 ,29.00 ,30.00 ,31.00 ,32.00 ,33.00 ,34.00 ,35.00 ,36.00 ,37.00 ,38.00 ,39.00 ,40.00 ,41.00 ,42.00 ,43.00 ,44.00 ,45.00 ,46.00 ,47.00 ,48.00 ,49.00 ,50.00 ,51.00 ,52.00 ,53.00 ,54.00 ,55.00 ,56.00 ,57.00 ,58.00 ,59.00 ,60.00 ,61.00 ,62.00 ,63.00 ,64.00 ,65.00 ,66.00 ,67.00 ,68.00 ,69.00 ,70.00 ,71.00 ,72.00 ,73.00 ,74.00 ,75.00 ,76.00 ,77.00 ,78.00 ,79.00 ,80.00 ,81.00 ,82.00 ,83.00 ,84.00 ,85.00 ,86.00 ,87.00 ,88.00 ,89.00 ,90.00 ,91.00 ,92.00 ,93.00 ,94.00 ,95.00 ,96.00 ,97.00 ,98.00 ,99.00 ,100.00 ,101.00 ,102.00 ,103.00 ,104.00 ,105.00 ,106.00 ,107.00 ,108.00 ,109.00 ,110.00 ,111.00 ,112.00 ,113.00 ,114.00 ,115.00 ,116.00 
NLC,ASC,Station,Fare Zone,Total,Early     ,AM Peak   ,Midday    ,PM Peak   ,Evening   ,Late      ,0500-0515,0515-0530,0530-0545,0545-0600,0600-0615,0615-0630,0630-0645,0645-0700,0700-0715,0715-0730,0730-0745,0745-0800,0800-0815,0815-0830,0830-0845,0845-0900,0900-0915,0915-0930,0930-0945,0945-1000,1000-1015,1015-1030,1030-1045,1045-1100,1100-1115,1115-1130,1130-1145,1145-1200,1200-1215,1215-1230,1230-1245,1245-1300,1300-1315,1315-1330,1330-1345,1345-1400,1400-1415,1415-1430,1430-1445,1445-1500,1500-1515,1515-1530,1530-1545,1545-1600,1600-1615,1615-1630,1630-1645,1645-1700,1700-1715,1715-1730,1730-1745,1745-1800,1800-1815,1815-1830,1830-1845,1845-1900,1900-1915,1915-1930,1930-1945,1945-2000,2000-2015,2015-2030,2030-2045,2045-2100,2100-2115,2115-2130,2130-2145,2145-2200,2200-2215,2215-2230,2230-2245,2245-2300,2300-2315,2315-2330,2330-2345,2345-0000,0000-0015,0015-0030,0030-0045,0045-0100,0100-0115,0115-0130,0130-0145,0145-0200,0200-0215,0215-0230,0230-0245,0245-0300,0300-0315,0315-0330,0330-0345,0345-0400,0400-0415,0415-0430,0430-0445,0445-0500
750,ABRd,Abbey Road,2/3,2194.31 ,144.67 ,441.76 ,510.19 ,615.10 ,306.71 ,175.89 ,0.88 ,2.11 ,4.11 ,11.97 ,21.73 ,28.85 ,34.72 ,40.30 ,42.31 ,43.67 ,47.66 ,49.36 ,51.02 ,48.81 ,41.92 ,33.49 ,28.04 ,22.92 ,17.01 ,15.54 ,13.56 ,13.22 ,11.34 ,13.44 ,13.81 ,15.84 ,15.95 ,17.16 ,16.65 ,18.16 ,16.88 ,18.32 ,18.62 ,19.30 ,17.86 ,21.48 ,21.84 ,23.63 ,24.71 ,27.90 ,30.78 ,34.95 ,39.48 ,45.31 ,47.53 ,47.01 ,47.71 ,48.03 ,50.56 ,55.89 ,58.96 ,60.77 ,58.30 ,53.41 ,45.95 ,40.98 ,34.11 ,31.75 ,27.37 ,25.79 ,23.66 ,23.96 ,22.54 ,23.60 ,23.82 ,24.00 ,22.92 ,23.19 ,21.43 ,20.74 ,20.30 ,20.12 ,18.66 ,18.20 ,15.31 ,13.87 ,10.78 ,7.81 ,4.79 ,3.23 ,0.67 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
1404,ACCr,Acton Central,3,2981.00 ,50.03 ,830.37 ,545.00 ,1001.45 ,389.73 ,164.42 ,0.00 ,0.00 ,0.05 ,0.25 ,2.11 ,7.17 ,11.10 ,29.36 ,50.39 ,68.97 ,83.80 ,106.37 ,105.44 ,99.43 ,86.37 ,76.85 ,53.77 ,41.35 ,30.02 ,27.61 ,22.34 ,21.75 ,19.72 ,18.76 ,17.58 ,15.92 ,17.04 ,16.84 ,17.75 ,17.72 ,18.54 ,18.12 ,19.72 ,20.48 ,21.76 ,20.71 ,23.96 ,24.45 ,25.40 ,26.65 ,30.09 ,30.67 ,34.34 ,44.69 ,52.80 ,59.80 ,66.41 ,80.66 ,85.21 ,88.51 ,92.82 ,104.40 ,102.10 ,95.34 ,88.31 ,85.10 ,65.01 ,51.71 ,43.85 ,37.81 ,28.06 ,28.42 ,24.06 ,23.11 ,22.86 ,22.06 ,20.66 ,22.11 ,19.80 ,20.57 ,19.11 ,19.20 ,18.61 ,19.97 ,16.57 ,13.83 ,9.32 ,5.69 ,1.75 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
3000,AMLr,Acton Main Line,3,4115.64 ,106.16 ,669.40 ,699.76 ,1304.79 ,855.92 ,479.62 ,1.10 ,1.48 ,4.95 ,6.18 ,10.44 ,15.93 ,25.77 ,40.31 ,55.99 ,67.84 ,77.45 ,85.38 ,79.14 ,72.32 ,62.41 ,52.45 ,38.89 ,31.28 ,24.62 ,21.63 ,19.17 ,17.90 ,18.01 ,18.42 ,18.87 ,19.01 ,18.75 ,18.61 ,18.90 ,20.33 ,21.39 ,24.01 ,24.93 ,26.55 ,26.98 ,31.08 ,31.89 ,33.91 ,37.13 ,42.37 ,44.24 ,49.49 ,55.56 ,62.25 ,68.09 ,75.26 ,79.91 ,85.58 ,98.44 ,111.62 ,123.63 ,133.15 ,145.30 ,139.14 ,129.55 ,115.13 ,103.76 ,87.66 ,75.59 ,69.21 ,65.29 ,61.74 ,57.42 ,59.05 ,59.11 ,64.69 ,71.69 ,80.71 ,75.06 ,80.35 ,67.47 ,73.97 ,59.33 ,53.41 ,33.96 ,30.00 ,5.50 ,0.57 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
500,ACTu,Acton Town,3,8137.68 ,298.28 ,1849.44 ,1578.33 ,2194.04 ,1352.15 ,865.45 ,0.48 ,3.37 ,7.20 ,18.25 ,34.48 ,55.04 ,76.35 ,103.10 ,135.74 ,164.34 ,193.79 ,216.74 ,229.07 ,215.66 ,191.81 ,157.50 ,123.14 ,91.32 ,70.51 ,59.82 ,53.12 ,49.59 ,46.62 ,45.20 ,43.68 ,44.25 ,43.90 ,44.85 ,48.07 ,51.70 ,52.06 ,53.73 ,58.02 ,60.21 ,60.19 ,64.80 ,74.64 ,79.84 ,83.19 ,90.68 ,99.42 ,104.48 ,108.19 ,117.91 ,128.10 ,135.04 ,142.79 ,155.49 ,173.24 ,189.04 ,202.36 ,215.39 ,226.53 ,223.16 ,209.22 ,193.69 ,173.39 ,155.95 ,134.65 ,121.11 ,111.53 ,105.31 ,93.59 ,90.76 ,91.70 ,91.05 ,90.34 ,92.76 ,96.26 ,95.13 ,97.42 ,91.98 ,89.34 ,80.82 ,73.19 ,61.26 ,54.94 ,44.08 ,33.92 ,23.28 ,14.75 ,7.47 ,1.60 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
9441,ADVt,Addington Village,4,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
9440,ADSt,Addiscombe,4,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
502,ALDu,Aldgate,1,14371.53 ,311.31 ,5334.29 ,4162.33 ,2841.79 ,1128.22 ,593.58 ,3.91 ,5.69 ,13.06 ,18.15 ,29.36 ,51.16 ,77.66 ,112.33 ,152.61 ,202.55 ,242.42 ,324.13 ,411.15 ,534.18 ,605.54 ,667.64 ,649.66 ,617.51 ,503.78 ,423.11 ,340.63 ,297.01 ,234.18 ,214.48 ,190.37 ,184.15 ,164.48 ,162.72 ,154.66 ,160.72 ,155.55 ,160.91 ,156.66 ,161.55 ,148.76 ,145.81 ,135.82 ,137.86 ,126.66 ,134.17 ,133.38 ,143.26 ,146.56 ,171.97 ,172.93 ,195.35 ,205.17 ,230.25 ,240.22 ,273.19 ,282.19 ,297.23 ,278.97 ,257.91 ,218.95 ,189.42 ,151.37 ,129.44 ,108.52 ,98.60 ,87.98 ,81.67 ,78.75 ,79.46 ,79.76 ,77.49 ,77.31 ,77.86 ,78.36 ,77.71 ,77.36 ,73.92 ,68.31 ,59.23 ,48.87 ,39.61 ,30.09 ,19.76 ,12.13 ,6.89 ,1.34 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
